TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-03-05 11:36:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:36:05.238,1.5932944,1.2174784,1.5166078,1.3129811,1.2433112,0.60945445,0.9894154,1.198583,1.267164,0.281943,0.7859229,1.1939679,0.8082998,0.3734915,0.37030205,0.6999586,0.7659624,0.55874026,0.66108614,0.6715767,863.47986,898.1319,853.8095,843.73627,643.0769,0.42919921875,0.1627197265625,0.9024658203125,0.321502685546875,5.226287841796875,4.194488525390625,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:06.267,1.2079408,0.63059795,0.97801495,1.1801245,1.0502764,0.027286114,0.53874356,1.046626,1.2694286,0.0014561014,0.4827966,1.1927341,0.9570683,0.64064276,0.41651222,0.780932,0.77463377,0.7140323,0.7339463,0.82908976,826.4103,852.1978,843.3333,807.47253,904.57874,0.419189453125,0.15435791015625,0.90087890625,1.143951416015625,1.8841552734375,4.598236083984375,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:07.282,1.1402264,0.23413189,0.6772978,0.3910641,0.72451454,-0.12609212,0.039545704,0.14714558,0.8755253,-0.018513223,0.4310349,0.34152865,1.0106727,0.7072106,0.30220273,0.90470594,0.97136843,0.77413654,0.7779039,1.0111313,815.12823,855.82416,822.7839,805.4579,973.47986,0.41217041015625,0.14990234375,0.91265869140625,-0.037384033203125,6.512298583984375,3.72344970703125,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:36:08.300,0.6572216,1.1819724,0.19169739,0.2969385,0.6421952,1.0377046,-0.11952719,0.31209874,0.76485175,0.9977765,0.060609464,0.4959978,0.8501051,0.5096916,0.55410993,0.9117587,0.99491435,0.71527934,0.7917828,1.0184158,836.4835,854.61536,855.0183,840.5128,825.2015,0.36572265625,0.1417236328125,0.92254638671875,0.7476806640625,1.936492919921875,6.243133544921875,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:09.318,1.065177,1.0966605,0.17087895,0.55093527,0.3535048,0.90084934,-0.15243275,0.49329224,0.56308764,0.99848723,0.037940677,0.28251523,0.98163354,0.48968077,0.57127213,0.72427964,0.9896447,0.5563543,0.66055954,0.8408516,844.5421,851.79486,861.06226,840.5128,855.82416,0.36016845703125,0.1573486328125,0.924072265625,-3.910369873046875,2.534637451171875,5.45806884765625,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:10.334,0.52174824,-0.62392175,-0.23614182,0.509178,0.075584404,-0.2255323,-0.59402704,0.4000726,0.473167,-0.1814015,-0.0957362,0.41435966,0.91346115,0.5455412,0.4630734,0.7028714,0.86872447,0.63347375,0.49694413,0.77318543,771.6117,926.7399,859.85345,753.0769,1077.4359,0.27459716796875,0.16790771484375,0.952392578125,1.981353759765625,12.93487548828125,3.431854248046875,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:36:11.343,0.38727444,0.14698444,0.9340021,0.12291086,0.08344751,-0.37880024,0.7717013,0.034832817,0.40446842,-0.29283813,0.7514479,0.25958273,0.8525269,0.55659956,0.41404372,0.52123326,0.5823271,0.52819675,0.37430462,0.627524,855.42126,865.09155,862.674,848.97437,760.32965,0.38848876953125,0.193115234375,0.9188232421875,-2.100982666015625,-0.418701171875,2.0635986328125,1,1.0,1.0,1.0,1.0,97.95
